                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3398,                 1.8397,                 1.3623,                0.88382,                0.48174,                0.63526,                0.39167,                 1.2364,                 1.3801,                 1.2799,              0.0003327,              0.0003327,              0.0003327
                      2,                 1.2781,                 1.2907,                  1.328,                0.88967,                 0.6243,                 0.7733,                 0.4993,                 1.2867,                 1.1095,                 1.2881,             0.00063966,             0.00063966,             0.00063966
                      3,                 1.2687,                 1.1697,                 1.3281,                0.79778,                0.61828,                 0.7112,                0.40833,                 1.3237,                 1.0024,                  1.332,             0.00092021,             0.00092021,             0.00092021
                      4,                 1.2502,                 1.1027,                 1.3115,                0.87523,                0.76506,                0.83914,                0.56324,                 1.2341,                0.93708,                 1.2433,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.2112,                 1.0434,                  1.294,                0.80017,                0.80537,                0.86582,                0.58015,                 1.1846,                0.83498,                 1.2342,              0.0008812,              0.0008812,              0.0008812
                      6,                 1.1722,                0.98857,                 1.2705,                0.87347,                0.77691,                0.86569,                0.60652,                 1.1244,                0.78398,                 1.1912,              0.0008416,              0.0008416,              0.0008416
                      7,                 1.1565,                0.94488,                 1.2564,                0.80682,                0.81117,                0.87157,                0.61298,                 1.0513,                 0.7858,                 1.1751,               0.000802,               0.000802,               0.000802
                      8,                 1.1237,                0.91155,                 1.2372,                0.84018,                0.80799,                 0.9032,                0.64205,                 1.0174,                 0.7201,                 1.1384,              0.0007624,              0.0007624,              0.0007624
                      9,                 1.1008,                0.87717,                 1.2222,                0.81413,                0.84349,                0.89398,                0.64146,                0.99554,                0.72341,                 1.1283,              0.0007228,              0.0007228,              0.0007228
                     10,                 1.0832,                0.85052,                 1.2108,                0.84788,                0.84194,                0.89797,                0.63942,                0.98515,                0.67722,                 1.1281,              0.0006832,              0.0006832,              0.0006832
                     11,                 1.0629,                0.82593,                 1.2052,                  0.842,                0.88366,                0.91074,                0.66636,                0.98974,                0.67806,                 1.1273,              0.0006436,              0.0006436,              0.0006436
                     12,                 1.0458,                0.80613,                 1.1907,                0.83589,                0.89609,                0.92704,                0.68687,                0.93868,                0.64837,                 1.1057,               0.000604,               0.000604,               0.000604
                     13,                 1.0289,                0.78456,                  1.178,                0.88046,                0.84283,                0.92144,                0.69152,                0.94187,                0.65862,                 1.1034,              0.0005644,              0.0005644,              0.0005644
                     14,                 1.0169,                0.76861,                 1.1734,                0.84674,                0.91206,                0.92934,                0.69051,                0.97036,                0.63722,                 1.1154,              0.0005248,              0.0005248,              0.0005248
                     15,                0.99427,                0.75008,                 1.1591,                0.86373,                0.87316,                0.93104,                0.70184,                0.91979,                0.61185,                  1.083,              0.0004852,              0.0004852,              0.0004852
                     16,                0.93596,                0.60418,                 1.1172,                0.86296,                0.90514,                0.92881,                0.70455,                0.91165,                0.60546,                 1.0743,              0.0004456,              0.0004456,              0.0004456
                     17,                0.90658,                0.58309,                 1.1027,                0.88737,                0.88741,                0.93096,                0.71051,                0.89579,                0.57866,                 1.0647,               0.000406,               0.000406,               0.000406
                     18,                0.88959,                0.55999,                 1.0942,                0.85245,                0.90657,                 0.9271,                0.71355,                0.88821,                0.57407,                 1.0608,              0.0003664,              0.0003664,              0.0003664
                     19,                0.86912,                0.54735,                 1.0837,                 0.8391,                0.89553,                0.92649,                0.71682,                0.88483,                0.57221,                 1.0594,              0.0003268,              0.0003268,              0.0003268
                     20,                0.85089,                0.52936,                 1.0733,                0.87839,                0.89686,                0.93078,                0.72968,                0.87575,                 0.5535,                 1.0633,              0.0002872,              0.0002872,              0.0002872
                     21,                  0.831,                0.51306,                 1.0604,                0.86418,                0.89074,                0.93478,                0.73725,                0.87543,                0.54478,                 1.0542,              0.0002476,              0.0002476,              0.0002476
                     22,                0.81398,                0.50049,                 1.0504,                0.86652,                0.90371,                 0.9459,                0.74136,                0.85801,                0.53496,                 1.0496,               0.000208,               0.000208,               0.000208
                     23,                0.79618,                0.48651,                  1.046,                0.87877,                0.90952,                0.94057,                0.74648,                0.85073,                 0.5304,                 1.0411,              0.0001684,              0.0001684,              0.0001684
                     24,                 0.7834,                0.47501,                 1.0326,                0.87253,                0.90211,                0.93445,                0.73644,                0.84994,                0.52837,                 1.0415,              0.0001288,              0.0001288,              0.0001288
                     25,                0.76795,                0.46297,                 1.0264,                0.87003,                0.90927,                 0.9334,                0.74118,                0.84273,                0.51578,                 1.0402,               8.92e-05,               8.92e-05,               8.92e-05
